,SubjectId,RunId,Annotation,AnnotationType,Comment,start,end
0,52,1,Sync,Event,,1527700253.657,1527700255.947
1,52,1,hallway forward,Section,,1527700316.12,1527700365.216
2,52,1,wheel behind,Event,,1527700353.138,1527700358.154
3,52,1,wheel behind,Event,,1527700376.175,1527700380.165
4,52,1,pause,Event,,1527700387.084,1527700413.564
5,52,1,wheel behind,Event,,1527700413.564,1527700420.735
6,52,1,lobby forward,Section,,1527700416.366,1527700476.8
7,52,1,wheel behind,Event,,1527700455.716,1527700460.977
8,52,1,wheel behind,Event,,1527700466.422,1527700468.779
9,52,1,outside forward,Section,,1527700476.8,1527700525.872
10,52,1,other,Event,turn around,1527700525.88,1527700531.587
11,52,1,outside back,Section,,1527700531.595,1527700586.028
12,52,1,lobby back,Section,,1527700586.028,1527700662.311
13,52,1,pause,Event,,1527700637.447,1527700653.524
14,52,1,wheel behind,Event,,1527700653.524,1527700672.782
15,52,1,pause,Event,,1527700672.782,1527700691.611
16,52,1,hallway back,Section,,1527700705.398,1527700762.701
17,52,2,Sync,Event,,1527700843.603,1527700845.615
18,52,2,hallway forward,Section,,1527700884.367,1527700930.854
19,52,2,wheel behind,Event,,1527700908.397,1527700908.406
20,52,2,blind,Event,,1527700908.406,1527700925.475
21,52,2,pause,Event,,1527700937.781,1527700950.524
22,52,2,pause,Event,,1527700958.184,1527700983.334
23,52,2,lobby forward,Section,,1527700987.155,1527701047.303
24,52,2,outside forward,Section,,1527701047.303,1527701097.527
25,52,2,other,Event,,1527701097.536,1527701101.332
26,52,2,outside back,Section,,1527701101.904,1527701152.608
27,52,2,lobby back,Section,,1527701152.608,1527701263.149
28,52,2,wheel behind,Event,,1527701213.404,1527701222.764
29,52,2,pause,Event,,1527701222.764,1527701248.318
30,52,2,hallway back,Section,,1527701263.149,1527701325.039
31,78,1,Sync,Event,,1525795196.106,1525795197.908
32,78,1,hallway forward,Section,,1525795278.453,1525795319.323
33,78,1,blind,Event,,1525795319.26,1525795321.262
34,78,1,wheel behind,Event,,1525795321.295,1525795327.001
35,78,1,pause,Event,,1525795327.034,1525795350.858
36,78,1,pause,Event,,1525795358.899,1525795386.359
37,78,1,wheel behind,Event,,1525795387.627,1525795409.949
38,78,1,lobby forward,Section,,1525795388.728,1525795439.378
39,78,1,blind,Event,,1525795400.239,1525795402.441
40,78,1,blind,Event,,1525795423.263,1525795425.733
41,78,1,outside forward,Section,,1525795439.378,1525795532.202
42,78,1,pause,Event,,1525795446.818,1525795479.117
43,78,1,pause,Event,,1525795515.423,1525795532.168
44,78,1,outside back,Section,,1525795532.202,1525795565.201
45,78,1,lobby back,Section,,1525795565.201,1525795610.779
46,78,1,wheel behind,Event,,1525795573.642,1525795579.381
47,78,1,wheel behind,Event,,1525795591.86,1525795596.298
48,78,1,hallway back,Section,,1525795650.951,1525795696.629
49,78,2,Sync,Event,,1525796000.926,1525796002.861
50,78,2,hallway forward,Section,,1525796048.178,1525796098.088
51,78,2,other,Event,Turn around,1525796112.055,1525796127.806
52,78,2,hallway back,Section,,1525796136.383,1525796186.862
53,145,1,Sync,Event,,1525940309.231,1525940310.75
54,145,1,hallway forward,Section,,1525940385.895,1525940494.513
55,145,1,blind,Event,,1525940390.551,1525940391.968
56,145,1,pause,Event,,1525940392.238,1525940406.883
57,145,1,wheel behind,Event,,1525940419.266,1525940422.911
58,145,1,pause,Event,Wrong turn,1525940475.314,1525940484.982
59,145,1,pause,Event,,1525940512.802,1525940533.463
60,145,1,lobby forward,Section,,1525940537.401,1525940598.203
61,145,1,blind,Event,,1525940584.708,1525940585.822
62,145,1,blind,Event,,1525940586.328,1525940586.8
63,145,1,outside forward,Section,,1525940598.202,1525940676.622
64,145,1,outside stairs,Event,,1525940651.282,1525940656.822
65,145,1,ramp,Section,,1525940676.622,1525940695.082
66,145,1,outside back,Section,,1525940695.082,1525940734.263
67,145,1,lobby back,Section,,1525940734.263,1525940816.453
68,145,1,pause,Event,,1525940792.059,1525940814.769
69,145,1,pause,Event,,1525940822.09,1525940843.032
70,145,1,hallway back,Section,,1525940859.039,1525940915.897
71,145,2,Sync,Event,,1525941293.621,1525941295.409
72,145,2,hallway forward,Section,,1525941342.109,1525941389.788
73,145,2,pause,Event,,1525941404.804,1525941428.66
74,145,2,lobby forward,Section,,1525941431.832,1525941484.573
75,145,2,outside forward,Section,,1525941484.573,1525941553.408
76,145,2,outside stairs,Event,,1525941529.991,1525941535.997
77,145,2,ramp,Section,,1525941553.408,1525941574.599
78,145,2,outside back,Section,,1525941574.599,1525941620.186
79,145,2,wheel behind,Event,,1525941596.903,1525941602.639
80,145,2,wheel behind,Event,,1525941604.124,1525941609.185
81,145,2,lobby back,Section,,1525941620.186,1525941670.834
82,145,2,wheel behind,Event,,1525941633.345,1525941635.1
