,SubjectId,RunId,wheel.tap.idx,subject.delta,comment,subject.path,wheel.path,subject.start,subject.end,subject.duration,wheel.start,wheel.end,wheel.duration,subject.belt.id,wheel.belt.id,video.delta,video.start
0,52,1,1898,1231,,subject/052-1/5B0EDB12,wheel/052-1/5B0EDB06,1527700242.0,1527701036.15,794.15,1527700230.0,1527700925.0,695.0,10477,11080,-14.2924,1527700234.677
1,52,2,777,-1093,,subject/052-2/5B0EDD73,wheel/052-2/5B0EDD7D,1527700851.0,1527701546.05,695.06,1527700861.0,1527701454.98,593.98,11049,11084,-32.9262,1527700835.833
2,78,1,2344,829,,subject/078-1/5AF1C962,wheel/078-1/5AF1C95B,1525795170.0,1525795794.48,624.48,1525795163.0,1525795857.35,694.36,11080,10646,-13.7631,1525795172.666
3,78,2,1576,708,,subject/078-2/5AF1CCBB,wheel/078-2/5AF1CCB4,1525796027.0,1525796362.68,335.68,1525796020.0,1525796448.59,428.6,10493,11084,-50.5836,1525795985.166
4,145,1,1450,-703,,subject/145-1/5AF4004E,wheel/145-1/5AF40055,1525940302.0,1525941095.25,793.26,1525940309.0,1525941038.96,729.96,10477,10646,-28.7585,1525940294.731
5,145,2,1641,884,,subject/145-2/5AF40429,wheel/145-2/5AF40420,1525941289.0,1525941911.28,622.29,1525941280.0,1525941817.82,537.83,11080,11084,-19.1889,1525941277.211
6,161,1,2492,1356,,subject/161-1/5AFC562A,wheel/161-1/5AFC561C,1526486570.0,1526487198.9,628.9,1526486556.0,1526487060.9,504.9,10493,11084,-35.7814,1526486545.128
7,161,2,2156,1133,,subject/161-2/5AFC5997,wheel/161-2/5AFC5991,1526487447.0,1526487793.69,346.69,1526487441.0,1526487861.8,420.81,10477,11116,-27.6931,1526487434.856
8,161,3,1737,868,,subject/161-3/5AFC5C6A,wheel/161-3/5AFC5C61,1526488170.0,1526488624.61,454.62,1526488161.0,1526488481.11,320.12,11049,11080,-29.2735,1526488149.086
9,181,2,1874,791,,subject/181-2/5B461DAF,wheel/181-2/5B461DA7,1531321775.0,1531323126.55,1351.56,1531321767.0,1531323245.88,1478.88,11080,11264,-14.8596,1531321770.87
10,290,1,4586,-975,,subject/290-1/5B35E472,wheel/290-1/5B35E47C,1530258546.0,1530259128.36,582.37,1530258556.0,1530259244.28,688.29,10477,11084,36.88748,1530258638.737
11,290,2,5086,833,,subject/290-2/5B35E7F0,wheel/290-2/5B35E7E8,1530259440.0,1530259968.04,528.05,1530259432.0,1530260115.11,683.12,10493,11049,36.8794,1530259519.729
12,298,1,1406,-3185,,subject/298-1/5AFD89A1,wheel/298-1/5AFD89C0,1526565281.0,1526565848.63,567.63,1526565312.0,1526565949.06,637.07,10477,11080,-52.0763,1526565273.973
13,298,2,1799,886,,subject/298-2/5AFD8F22,wheel/298-2/5AFD8F18,1526566690.0,1526567184.77,494.78,1526566680.0,1526567136.33,456.34,10493,11084,-23.5814,1526566674.398
14,314,1,1759,914,,subject/314-1/5AF40A56,wheel/314-1/5AF40A4C,1525942870.0,1525943463.43,593.43,1525942860.0,1525943567.08,707.09,10493,11116,-22.4967,1525942855.083
15,314,2,846,-642,,subject/314-2/5AF40C51,wheel/314-2/5AF40C57,1525943377.0,1525943993.6,616.61,1525943383.0,1525944041.93,658.93,10477,11084,-21.2024,1525943370.247
16,317,1,1913,1190,,subject/317-1/5B0FCA7F,wheel/317-1/5B0FCA74,1527761535.0,1527762257.29,722.3,1527761524.0,1527762350.69,826.69,10493,11116,-17.2146,1527761525.905
17,339,1,619,-879,,subject/339-1/5B06FE24,wheel/339-1/5B06FE2C,1527184932.0,1527185360.61,428.62,1527184940.0,1527185412.48,472.48,11049,11116,-37.4521,1527184908.727
18,339,2,2016,1406,,subject/339-2/5B06FF90,wheel/339-2/5B06FF81,1527185296.0,1527185614.85,318.86,1527185281.0,1527185554.05,273.06,10493,11084,-22.1607,1527185278.989
19,390,1,878,-684,,subject/390-1/5AF415BF,wheel/390-1/5AF415C6,1525945791.0,1525946091.84,300.85,1525945798.0,1525946165.88,367.88,10493,11116,-40.5523,1525945766.217
20,390,2,1830,857,,subject/390-2/5AF41892,wheel/390-2/5AF4188A,1525946514.0,1525946754.11,240.12,1525946506.0,1525946825.76,319.77,10477,11084,-23.9112,1525946500.378
21,473,1,1823,810,,subject/473-1/5AE9EDA7,wheel/473-1/5AE9ED9F,1525280167.0,1525280997.74,830.74,1525280159.0,1525281135.75,976.76,11080,11084,-17.9425,1525280159.277
22,473,2,6803,893,,subject/473-2/5AE9F235,wheel/473-2/5AE9F22D,1525281333.0,1525281901.65,568.65,1525281325.0,1525282020.85,695.86,10493,10646,46.8092,1525281439.829
23,481,1,6471,826,,subject/481-1/5B35DA55,wheel/481-1/5B35DA4C,1530255957.0,1530256715.6,758.61,1530255948.0,1530256555.76,607.77,10477,11084,47.5477,1530256060.247
24,481,2,4779,-968,,subject/481-2/5B35DE3A,wheel/481-2/5B35DE42,1530256954.0,1530257518.72,564.72,1530256962.0,1530257603.22,641.22,10493,11049,37.96619,1530257047.746
25,491,1,1132,-1164,,subject/491-1/5B059CD1,wheel/491-1/5B059CDC,1527094481.0,1527096737.14,2256.14,1527094492.0,1527096903.02,2411.03,10477,11084,-29.825,1527094473.484
26,491,2,686,-889,,subject/491-2/5B059FD5,wheel/491-2/5B059FC3,1527095253.0,1527097009.33,1756.34,1527095235.0,1527097061.97,1826.97,11049,11116,-34.5769,1527095207.273
27,527,1,1990,-866,,subject/527-1/5B35EFA9,wheel/527-1/5B35EFB2,1530261417.0,1530261711.38,294.38,1530261426.0,1530261837.2,411.2,10493,11049,12.17228,1530261458.062
28,527,2,3868,1124,,subject/527-2/5B35F1EA,wheel/527-2/5B35F1E0,1530261994.0,1530262434.43,440.43,1530261984.0,1530262346.7,362.7,10477,11084,21.9534,1530262044.623
29,733,1,5332,1629,,subject/733-1/5AE9E003,wheel/733-1/5AE9DFF4,1525276675.0,1525277295.54,620.55,1525276660.0,1525277460.03,800.04,11095,11493,29.7674,1525276743.077
30,733,2,2126,-811,,subject/733-2/5AE9E55F,wheel/733-2/5AE9E567,1525278047.0,1525278682.09,635.1,1525278055.0,1525278577.59,522.6,10493,10646,-29.6565,1525278046.593
31,806,1,629,-827,,subject/806-1/5B18F7F8,wheel/806-1/5B18F800,1528363000.0,1528363676.19,676.19,1528363008.0,1528363554.56,546.57,10477,11080,-25.9724,1528362988.307
32,806,2,1620,879,,subject/806-2/5B18F9F0,wheel/806-2/5B18F9E7,1528363504.0,1528364015.54,511.55,1528363495.0,1528363903.15,408.15,10493,11116,-16.2391,1528363494.95
33,863,1,689,-818,,subject/863-1/5B190A65,wheel/863-1/5B190A6D,1528367717.0,1528368092.8,375.81,1528367725.0,1528368182.07,457.08,10493,11116,-23.4954,1528367708.384
34,863,2,668,-5596,,subject/863-2/5B190C44,wheel/863-2/5B190C7D,1528368196.0,1528368641.76,445.77,1528368253.0,1528368584.42,331.42,11049,11084,-22.2358,1528368237.434
35,896,1,4285,925,,subject/896-1/5B3E302D,wheel/896-1/5B3E3023,1530802221.0,1530803706.25,1485.25,1530802211.0,1530803546.55,1335.56,10477,11264,31.7985,1530802285.638
36,896,2,1948,-790,,subject/896-2/5B3E3220,wheel/896-2/5B3E3228,1530802720.0,1530803846.05,1126.06,1530802728.0,1530803777.72,1049.72,11116,11084,6.602,1530802754.072
37,915,1,1870,959,,subject/915-1/5B0ED2F9,wheel/915-1/5B0ED2F0,1527698169.0,1527698976.39,807.39,1527698160.0,1527699069.26,909.27,10493,11116,-18.6378,1527698160.052
38,915,2,893,-793,,subject/915-2/5B0ED58A,wheel/915-2/5B0ED592,1527698826.0,1527699481.79,655.8,1527698834.0,1527699392.6,558.61,11049,11084,-20.6305,1527698822.289
39,921,1,2332,1057,,subject/921-1/5B06F1D5,wheel/921-1/5B06F1CA,1527181781.0,1527182152.54,371.55,1527181770.0,1527182234.71,464.71,10477,11080,-16.6318,1527181776.678
40,921,2,2030,1105,,subject/921-2/5B06F663,wheel/921-2/5B06F658,1527182947.0,1527183327.25,380.26,1527182936.0,1527183273.91,337.91,10493,11084,-30.7154,1527182925.574
41,929,1,1780,831,,subject/929-1/5AF1D426,wheel/929-1/5AF1D41F,1525797926.0,1525798752.48,826.48,1525797919.0,1525798683.83,764.84,11080,10646,-17.7651,1525797919.024
42,969,1,720,-825,,subject/969-1/5AFD9A25,wheel/969-1/5AFD9A2E,1526569509.0,1526570233.8,724.81,1526569518.0,1526570278.59,760.6,10477,11084,-34.5401,1526569490.649
43,969,2,2164,1226,,subject/969-2/5AFD9EB9,wheel/969-2/5AFD9EAD,1526570681.0,1526571445.08,764.09,1526570669.0,1526571426.95,757.95,10493,11080,-27.7935,1526570662.836
44,988,1,4179,-1298,,subject/988-1/5B18FD6F,wheel/988-1/5B18FD7C,1528364399.0,1528365079.0,680.01,1528364412.0,1528365162.89,750.89,11049,11084,-29.704,1528364424.075
45,988,2,1765,880,,subject/988-2/5B18FFC9,wheel/988-2/5B18FFC1,1528365001.0,1528365438.13,437.13,1528364993.0,1528365509.51,516.52,10493,11116,-32.0524,1528364978.587
