,stamp,walk,mu_x,mu_y,mu_z,mu_rms,sigma_x,sigma_y,sigma_z,sigma_rms,speed
0,1525280496.01,473-1,-329.47333333333336,-35.46666666666667,-60.86,195.97298291481926,29.701110342132935,35.05418028645878,22.221620102953782,17.34957478573353,0.000689484
1,1528368563.01,863-2,-319.2816666666667,4.461666666666667,99.38333333333334,194.95178867792072,45.48683689327668,27.375631448830944,39.10754047779307,26.87634404187472,0.000711278
2,1526569871.01,969-1,-326.74,-9.70923076923077,73.68615384615384,194.62582315636365,14.078191535956497,25.914832242897386,25.893984314288904,7.865226075627672,0.0008476875
3,1525943013.01,314-1,-308.513,43.343,137.299,199.19193562956346,44.40963669070033,37.641670406611844,45.373468007195555,27.841715347320797,0.0008903768
4,1530802494.01,896-1,-34.88484581497797,4.401453744493392,308.28715859030837,197.37206542436755,80.7772994966274,32.67037858145197,116.90590283234272,14.937833982966868,0.0010856349
5,1525798117.01,929-1,-262.59,-7.7,212.97,195.86470951615524,21.610226745686862,18.128154897837792,14.371816169155519,9.699599621570153,0.0012959411
6,1525940401.01,145-1,-326.53,-61.38,26.1,192.42948558797988,2.511792188856395,1.111575458527221,3.8535697735995416,1.3698210389691727,0.0016073036
7,1527095338.01,491-2,-320.41714285714284,4.74,94.34285714285714,195.83730739415023,60.54847166038269,41.50100423340325,41.34515082326635,34.79131643493628,0.0017680339
8,1531322004.01,181-2,-328.2584,-61.5568,-24.888,193.37911141590916,10.6664909618862,3.1499164687337182,3.952348162801459,6.194196315371899,0.0018200349
9,1525798130.01,929-1,-273.3,-12.26,195.58,194.36557068355367,11.621961968617867,8.651728151069012,9.254382745488753,4.33492785674243,0.0020288914
10,1528367990.01,863-1,-288.80444444444447,12.358888888888888,176.10444444444445,197.75269103841612,59.728418531273014,30.419494460129958,47.93254730721105,36.72194119109824,0.0022100424
11,1525280408.01,473-1,-332.3,-37.64,-50.516,196.73628708619142,33.17339295278675,34.21003361588526,24.455382720374665,19.538782208886744,0.0026146981
12,1527700655.51,52-1,-322.02666666666664,-50.526666666666664,75.00666666666666,194.2192753123812,14.765250496426486,28.261799109201956,21.640855394882667,8.201746929103138,0.0028127813
13,1525940906.01,145-1,-315.555,-67.715,74.805,192.92401419697828,42.07561021542054,24.31879468641486,36.79832842670982,24.582644544288232,0.0028781948
14,1527701246.01,52-2,-327.64,24.78,94.0,199.08585641505724,50.99676852507422,27.735745888654225,37.689786414889646,29.90510171888049,0.0034378438
15,1525943511.01,314-2,-315.31454545454545,22.202727272727273,113.03818181818181,195.99728671441335,36.92827405651916,35.21355358662841,39.11289483212362,22.96776978883506,0.0035360679
16,1526487471.01,161-2,-220.59473684210528,-23.19157894736842,-155.55,194.43595222400955,68.56564256768992,98.85242127658627,162.36285265125426,16.476403923538303,0.0037886442
17,1527698649.01,915-1,-315.285,16.68,122.45,196.4407288935185,12.421102004250665,28.415094580169885,15.628419625797095,6.2162447224868655,0.0040577828
18,1525281556.51,473-2,-334.36571428571426,2.3914285714285715,-38.55142857142857,195.34596117387954,17.376436308274208,31.311858743281032,14.874770037666778,10.260939607297043,0.0044841441
19,1527096548.01,491-1,71.7075,-184.83791666666667,248.45,198.00469261973066,95.03994919900803,86.36733552483675,98.37932963788634,56.53096403751003,0.0047448834
20,1526566851.51,298-2,-228.41904761904763,21.091428571428573,246.82857142857142,195.74820968150226,31.53494839890404,21.37286269697971,29.793593796192436,17.618920029176014,0.0049014802
21,1530259584.01,290-2,-334.5190476190476,67.35904761904762,11.029523809523809,198.68429662339338,57.74993810796616,33.6233144601101,36.21925408453234,36.115337141645995,0.0049904184
22,1525941536.01,145-2,-233.475,-1.195,241.415,196.11536292992324,41.27940618516695,30.708581455352174,40.09579497902493,23.552623835384416,0.0051567657
23,1525798170.01,929-1,-259.18,-10.79,218.88,196.77073762396154,29.40693115576666,21.378164093298565,16.391632011486834,14.531121140119067,0.005347757
24,1531321824.01,181-2,-299.188125,-44.1915625,-33.8846875,195.88176402072497,50.015837331633115,70.95058485529634,128.86635816041095,23.435810898339533,0.0055415989
25,1528363593.01,806-2,-337.11225806451614,38.54774193548387,10.119354838709677,198.5417570943188,99.916230936613,37.01244748857726,46.050217465458644,59.020655593398644,0.0058536259
26,1528363684.01,806-2,-337.0833333333333,38.626666666666665,-6.983333333333333,199.56783429741427,69.26622353082502,36.217407723665445,58.423708562724926,41.66068707034337,0.0060371891
27,1530258735.01,290-1,-305.31733333333335,-18.914666666666665,95.7191111111111,195.72499307066803,48.816324337026536,31.197347579561974,103.28423452508147,24.75014654812383,0.0061881188
28,1530802292.51,896-1,-316.04985507246374,-23.625507246376813,91.77623188405798,194.70147702461756,19.303070454321567,17.93152963853005,66.08153341339069,8.235575238244692,0.0062778017
29,1527096575.01,491-1,140.37777777777777,-7.62,288.0111111111111,205.85697557621157,105.4682024517108,101.46062202757396,92.64547652739262,43.14350360032639,0.0063265112
30,1528365060.51,988-2,-300.46597701149426,-48.99172413793104,137.39241379310346,194.33725435910932,35.25936238135472,21.112352445025664,34.73714481366874,19.59069284951074,0.0065138093
31,1525281690.01,473-2,-314.72545454545457,-42.99818181818182,-98.66181818181818,192.06650447598133,7.179205278424056,3.904076699558159,5.809255652806953,4.72629436005308,0.0066006601
32,1527094627.51,491-1,-322.19217391304346,-48.78,74.61217391304348,195.20339172723126,52.62537435219701,32.58350262753009,43.640498040090534,32.54113878243195,0.0066449598
33,1525943452.01,314-2,-310.99,13.35,129.45,196.16427644776377,16.245919487674435,37.486364187528224,18.76612639838067,8.762798966386454,0.0071746305
34,1527698290.51,915-1,-331.28,22.4,71.824,196.18210934176426,8.128566909363542,4.077253977863052,5.073167058160022,4.205548820626001,0.0073418359
35,1528363681.01,806-2,-336.29333333333335,27.393333333333334,10.77,199.42389559466469,78.4462063384131,40.85231885163382,67.85261306685246,48.568232407424816,0.0075464864
36,1526487754.01,161-2,-86.864,79.096,-261.61,196.15606753634623,60.864944787619734,107.05883795371592,147.5353310227756,35.320086381684455,0.0076482367
37,1525940599.01,145-1,-320.72,-62.93,59.46,192.75530558763123,28.431524756861005,20.927137883618965,25.740404037232995,16.35070338401977,0.0083623227
